Contact Centre,Transaction Type,Unit Group,Call Type Code_NEW,Call Type Code_OLD,Assignment group,Call Type,Service Group,Verification Status,Dept/MOE & Call Type,Short Description-Call Type,Org. Unit,Org. Unit Name,Priority,SLA Duration,SLA Unit,RULEGUID,Operating Hours,Paid Service ,Quotation,OLA,Escalation,Reminder,Contract,MANDATORY Forms / Supporting documents,Additional information,Electricity Response SLA,,,
Power Contact,Service Request,City Power Forcelink,20037,IP12,City Power Forcelink,PREPAID CUSTOMER CANNOT BUY VOUCHER,FIX MY CITY,Unverified ,PREPAID ELECTRICITY CUSTOMER CANNOT BUY VOUCHER,PREPAID-VOUCHER ISSUE,60000041,CITY POWER,P2,24,HOUR,5CA3D9A248150054E1000000A859B6B0,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20038,IP8,City Power Forcelink,PREPAID METER DISPLAYS ??????,FIX MY CITY,Unverified ,PREPAID ELECTRICITY METER DISPLAYS ?????,PREPAID-METER ERROR,60000041,CITY POWER,P2,24,HOUR,5CA3D9A248150054E1000000A859B6B0,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20039,IP11,City Power Forcelink,PREPAID METER DISPLAYS SAD FACE,FIX MY CITY,Unverified ,PREPAID ELECTRICITY METER DISPLAYS SAD FACE,PREPAID-SAD FACE,60000041,CITY POWER,P2,24,HOUR,5CA3D99F48150054E1000000A859B6B0,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20040,IP9,City Power Forcelink,PREPAID METER KEYPAD DAMAGED,FIX MY CITY,Unverified ,PREPAID ELECTRICITY METER KEYPAD DAMAGED,PREPAID-KEYPAD DAMAGED,60000041,CITY POWER,P2,24,HOUR,5CA3D99F48150054E1000000A859B6B0,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20041,IP7,City Power Forcelink,PREPAID METER NOT ACCEPTING UNITS,FIX MY CITY,Unverified ,PREPAID ELECTRICITY METER NOT ACCEPTING UNITS,NO UNITS ACCEPTED,60000041,CITY POWER,P2,24,HOUR,5CA3D99F48150054E1000000A859B6B0,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20042,IP13,City Power Forcelink,PREPAID TOKEN ENCRYPTION FAILED,FIX MY CITY,Unverified ,PREPAID ELECTRICITY TOKEN ENCRYPTION FAILED,TOKEN FAILED,60000041,CITY POWER,P2,24,HOUR,5CA3D9A248150054E1000000A859B6B0,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20043,IP5,City Power Forcelink,VENDING MACHINE OFFLINE,FIX MY CITY,Unverified ,PREPAID ELECTRICITYy VENDING MACHINE OFFLINE ,VENDING OFFLINE,60000041,CITY POWER,P1,0,,5CA3D99F48150054E1000000A859B6B0,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20044,RIS1,City Power Forcelink,ILLEGAL ENTRY - CITY POWER PROPERTY,FIX MY CITY,Unverified ,ILLEGAL ENTRY ON CITY POWER PROPERTY ,ILLEGAL ENTRY,60000041,CITY POWER,P2,24,HOUR,5CA3D99F48150054E1000000A859B6B0,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20045,,City Power Forcelink,,FIX MY CITY,Unverified ,NO ELECTRICITY SUPPLY AFTER LOAD REDUCTION,LOAD REDUCTION,60000041,CITY POWER,P2,24,HOUR,5CA3D99F48150054E1000000A859B6B1,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20046,,City Power Forcelink,,FIX MY CITY,Unverified ,NO ELECTRICITY SUPPLY AFTER DAMAGES BY THIRD PARTY,DAMAGES BY THIRD PARTY,60000041,CITY POWER,P2,24,HOUR,5CA3D99F48150054E1000000A859B6B2,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20047,,City Power Forcelink,,FIX MY CITY,Unverified ,NO ELECTRICITY SUPPLY DUE TO THEFT AND VANDALISIM, THEFT AND VANDALISIM,60000041,CITY POWER,P2,24,HOUR,5CA3D99F48150054E1000000A859B6B3,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20048,,City Power Forcelink,,FIX MY CITY,Unverified ,NO ELECTRICITY SUPPLY IN THE EREA,SUPPLY IN THE EREA,60000041,CITY POWER,P2,24,HOUR,5CA3D99F48150054E1000000A859B6B4,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20049,,City Power Forcelink,,FIX MY CITY,Unverified ,NO ELECTRICITY SUPPLY IN MY PROPERTY,SUPPLY IN MY PROPERTY,60000041,CITY POWER,P2,24,HOUR,5CA3D99F48150054E1000000A859B6B5,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20050,,City Power Forcelink,,FIX MY CITY,Unverified ,NO ELECTRICITY SUPPLY DUE TO PHASE OFF, PHASE OFF,60000041,CITY POWER,P2,24,HOUR,5CA3D99F48150054E1000000A859B6B6,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20051,,City Power Forcelink,,FIX MY CITY,Unverified ,NO ELECTRICITY SUPPLY TO TRAFFIC LIGHT,TRAFFIC LIGHT,60000041,CITY POWER,P2,24,HOUR,5CA3D99F48150054E1000000A859B6B7,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20052,,City Power Forcelink,,FIX MY CITY,Unverified ,NO ELECTRICITY SUPPLY AFTER LOAD SHADDING, LOAD SHADDING,60000041,CITY POWER,P2,24,HOUR,5CA3D99F48150054E1000000A859B6B8,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20053,,City Power Forcelink,,FIX MY CITY,Unverified ,NO ELECTRICITY SUPPLY AFTER LOAD LIMITING,LOAD LIMITING,60000041,CITY POWER,P2,24,HOUR,5CA3D99F48150054E1000000A859B6B9,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20054,,City Power Forcelink,,FIX MY CITY,Unverified ,DANGEROUS SITUATION DUE TO ELECTICITY POLE COVER MISSING,ELECTICITY POLE COVER MISSING,60000041,CITY POWER,P2,24,HOUR,5CA3D99F48150054E1000000A859B6B10,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20055,,City Power Forcelink,,FIX MY CITY,Unverified ,DANGEROUS SITUATION DUE TO ELECTRICITY CABINET/CHAMBER OPEN,ELECTRICITY CABINET/CHAMBER OPEN,60000041,CITY POWER,P2,24,HOUR,5CA3D99F48150054E1000000A859B6B11,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20056,,City Power Forcelink,,FIX MY CITY,Unverified ,DANGEROUS SITUATION DUE TO ELECTRICITY SPARKING, ELECTRICITY SPARKING,60000041,CITY POWER,P2,24,HOUR,5CA3D99F48150054E1000000A859B6B12,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20057,,City Power Forcelink,,FIX MY CITY,Unverified ,DANGEROUS SITUATION DUE TO ELECTRICITY CONDUCTORS EXPOSED,ELECTRICITY CONDUCTORS EXPOSED,60000041,CITY POWER,P2,24,HOUR,5CA3D99F48150054E1000000A859B6B13,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20058,,City Power Forcelink,,FIX MY CITY,Unverified ,DANGEROUS SITUATION DUE TO LOW HANGING ELECTRICITY CONDUCTORS,LOW HANGING ELECTRICITY CONDUCTORS,60000041,CITY POWER,P2,24,HOUR,5CA3D99F48150054E1000000A859B6B14,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20059,,City Power Forcelink,,FIX MY CITY,Unverified ,DANGEROUS SITUATION DUE TO EXPOSED ELECTRICITY EQUIPMENT,EXPOSED ELECTRICITY EQUIPMENT,60000041,CITY POWER,P2,24,HOUR,5CA3D99F48150054E1000000A859B6B15,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20060,,City Power Forcelink,,FIX MY CITY,Unverified ,DANGEROUS SITUATION DUE TO DAMANGED ELECTRICITY EQUIPMENT,DAMANGED ELECTRICITY EQUIPMENT,60000041,CITY POWER,P2,24,HOUR,5CA3D99F48150054E1000000A859B6B16,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20061,,City Power Forcelink,,FIX MY CITY,Unverified ,DANGEROUS SITUATION DUE TO ELECTRICITY SHOCKS,ELECTRICITY SHOCKS,60000041,CITY POWER,P2,24,HOUR,5CA3D99F48150054E1000000A859B6B17,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20062,,City Power Forcelink,,FIX MY CITY,Unverified ,HIGH ELECTRICITY VOLTAGE,HIGH ELECTRICITY VOLTAGE,60000041,CITY POWER,P2,24,HOUR,5CA3D99F48150054E1000000A859B6B18,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20063,NHW,City Power Forcelink,,FIX MY CITY,Unverified ,NO HOT WATER SUPPLY,NO HOT WATER,60000041,CITY POWER,P2,24,HOUR,5CA3D99F48150054E1000000A859B6B19,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20064,IME3,City Power Forcelink,,FIX MY CITY,Unverified ,TREE TRIMMING,TREE TRIMMING,60000041,CITY POWER,P2,24,HOUR,5CA3D99F48150054E1000000A859B6B20,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20065,IMR2,City Power Forcelink,,JOBURG SERVICES (Service Request),"Proxy, Verified",REQUEST SPECIAL METER READING,REQUEST METER READING,60000041,CITY POWER,P2,24,HOUR,5CA3D99F48150054E1000000A859B6B21,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20066,MTR5,City Power Forcelink,,JOBURG SERVICES (Service Request),"Proxy, Verified",REQUEST TO TEST METER,REQUEST METER TEST,60000041,CITY POWER,P2,24,HOUR,5CA3D99F48150054E1000000A859B6B22,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20067,REC1,City Power Forcelink,,JOBURG SERVICES (Service Request),"Proxy, Verified",RECONNECTION REQUEST,RECONNECTION REQUEST,60000041,CITY POWER,P2,24,HOUR,5CA3D99F48150054E1000000A859B6B23,24x7,,,,,,,,,,,,
Power Contact,Service Request,City Power Forcelink,20068,IMR3,City Power Forcelink,,JOBURG SERVICES (Service Request),"Proxy, Verified",CHECK METER READING,CHECK METER READING,60000041,CITY POWER,P2,24,HOUR,5CA3D99F48150054E1000000A859B6B24,24x7,,,,,,,,,,,,
