Contact Centre,Transaction Type,Unit Group,Call Type Code_NEW,Call Type Code_OLD,Assignment group,Call Type,Service Group,Verification Status,Dept/MOE & Call Type,Short Description-Call Type,Org. Unit,Org. Unit Name,Priority,SLA Duration,SLA Unit,RULEGUID,Operating Hours,Paid Service ,Quotation ,"OLA 
Still awaiting",Escalation,Reminder,Contract,MANDATORY Forms / Supporting documents,Additional information,,,
Water Contact,Service Request,Joburg Water Forcelink,10106,CPWT,Joburg Water Forcelink,,FIX MY CITY,Unverified ,PREPAID WRONG TAG/CARD,WRONG TAG/CARD,60000042,JOHANNESBURG WATER,P2,24,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10107,BM,Joburg Water Forcelink,,FIX MY CITY,Unverified ,BEES IN METER BOX - INVESTIGAT,BEES IN METER BOX,60000042,JOHANNESBURG WATER,P5,96,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10108,C601,Joburg Water Forcelink,,FIX MY CITY,Unverified ,S:SEWER SPILLAGE CLEANUP,SEWER SPILLAGE CLEANUP,60000042,JOHANNESBURG WATER,P2,24,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10109,MFA,Joburg Water Forcelink,,FIX MY CITY,Unverified ,W:MOVE FIRE HYDRANT,MOVE FIRE HYDRANT,60000042,JOHANNESBURG WATER,P5,336,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10110,MMA,Joburg Water Forcelink,,FIX MY CITY,Unverified ,MOVE METER TO NEW POSITION,MOVE METER TO NEW POS,60000042,JOHANNESBURG WATER,P4,72,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10111,MMQ,Joburg Water Forcelink,,JOBURG SERVICES (Service Request),"Proxy, Verified",QOUTE MOVE METER TO NEW POS,QOUTE MOVE METER TO NEW POS,60000042,JOHANNESBURG WATER,P5,96,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10112,SC5,Joburg Water Forcelink,,FIX MY CITY,Unverified ,S:MANHOLE LID MISSING-REPLACE,MANHOLE LID MISSING,60000042,JOHANNESBURG WATER,P2,24,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10113,S03,Joburg Water Forcelink,,FIX MY CITY,Unverified ,S:MANHOLE REPAIR/LOWER/RAISE,MANHOLE REPAIR/LOWER/RAISE,60000042,JOHANNESBURG WATER,P5,120,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10114,S81,Joburg Water Forcelink,,FIX MY CITY,Unverified ,INVESTIGATE SEWER ILLEGAL CONN,SEWER ILLEGAL CONN,60000042,JOHANNESBURG WATER,P5,96,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10115,C550,Joburg Water Forcelink,,FIX MY CITY,Unverified ,S:SEWAGE: ODOUR-INVESTIGATION,SEWAGE: ODOUR,60000042,JOHANNESBURG WATER,P4,72,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10116,C522,Joburg Water Forcelink,,FIX MY CITY,Unverified ,S:MAIN BLOCKAGE,MAIN BLOCKAGE,60000042,JOHANNESBURG WATER,P2,24,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10117,S05,Joburg Water Forcelink,,FIX MY CITY,Unverified ,S:LOCATE MANHOLE,LOCATE MANHOLE,60000042,JOHANNESBURG WATER,P5,120,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10118,S29,Joburg Water Forcelink,,FIX MY CITY,Unverified ,S:VACUUM SERVICE A/C,VACUUM SERVICE A/C,60000042,JOHANNESBURG WATER,P5,96,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10119,S49,Joburg Water Forcelink,,FIX MY CITY,Unverified ,S:DESLUDGING (INFORMAL H),DESLUDGING (INFORMAL H),60000042,JOHANNESBURG WATER,P5,96,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10120,SUVTS1,Joburg Water Forcelink,,FIX MY CITY,Unverified ,VACUUM TANKER SERVICES,VACUUM TANKER SERVICES,60000042,JOHANNESBURG WATER,P5,96,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10121,C1,Joburg Water Forcelink,,FIX MY CITY,Unverified ,W:CUSTOMER CARE INVESTIGATION,CUSTOMER CARE INVESTIGATION,60000042,JOHANNESBURG WATER,P4,72,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10122,C331,Joburg Water Forcelink,,FIX MY CITY,Unverified ,W:FIRE HYDRANT COVER MISSING,FIRE HYDRANT COVER MISSING,60000042,JOHANNESBURG WATER,P5,120,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10123,C332,Joburg Water Forcelink,,FIX MY CITY,Unverified ,FIRE HYDRANT LEAKING,HYDRANT LEAKING,60000042,JOHANNESBURG WATER,P3,48,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10124,C340,Joburg Water Forcelink,,FIX MY CITY,Unverified ,W:METER COVER MISSING,METER COVER MISSING,60000042,JOHANNESBURG WATER,P5,504,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10125,C340V,Joburg Water Forcelink,,FIX MY CITY,Unverified ,W:VALVE BOX COVER MISSING/DAMA,VALVE BOX COVER MISSING/DAMA,60000042,JOHANNESBURG WATER,P5,504,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10126,C160,Joburg Water Forcelink,,JOBURG SERVICES (Service Request),"Proxy, Verified",CLOSE METER PER OWNERS REQUEST,CLOSE METER ,60000042,JOHANNESBURG WATER,P5,336,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10127,WIST,Joburg Water Forcelink,,FIX MY CITY,Unverified ,W:INF SETT REPLACE TAPS,INF SETT REPLACE TAPS,60000042,JOHANNESBURG WATER,P5,336,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10128,C120,Joburg Water Forcelink,,FIX MY CITY,Unverified ,W:NO WATER INDIVIDUAL,NO WATER INDIVIDUAL,60000042,JOHANNESBURG WATER,P2,24,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10129,C121,Joburg Water Forcelink,,FIX MY CITY,Unverified ,W:NO WATER AREA OUTAGE,NO WATER AREA OUTAGE,60000042,JOHANNESBURG WATER,P2,24,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10130,C130,Joburg Water Forcelink,,FIX MY CITY,Unverified ,W:INTERMITTENT SUPPLY - I,INTERMITTENT SUPPLY,60000042,JOHANNESBURG WATER,P2,24,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10131,C140,Joburg Water Forcelink,,FIX MY CITY,Unverified ,W:LACK OF PRESSURE,LACK OF PRESSURE,60000042,JOHANNESBURG WATER,P3,48,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10132,C150,Joburg Water Forcelink,,FIX MY CITY,Unverified ,W:HIGH PRESSURE-INVESTIGATION,HIGH PRESSURE,60000042,JOHANNESBURG WATER,P3,48,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10133,C200,Joburg Water Forcelink,,FIX MY CITY,Unverified ,W:DIRTY / CLOUDY / MUDDY,DIRTY / CLOUDY / MUDDY,60000042,JOHANNESBURG WATER,P5,336,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
